system,backend,run,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2,doc_to_model_component_miss_rate,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
approach (GPT-5.6-terra),gpt-5.6-terra,run3,mediastore,0.9118,1.0000,0.9538,0.9810,0.0000,0.8525,0.8814,0.8667,0.8754,0.9492,0.9790,0.7241,0.7394,0.9594,0.9623
approach (GPT-5.6-terra),gpt-5.6-terra,run3,teastore,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
approach (GPT-5.6-terra),gpt-5.6-terra,run3,teammates,0.8030,0.9298,0.8618,0.9014,0.0000,0.7996,0.7418,0.7696,0.7527,0.6199,0.5258,0.7160,0.6117,0.7889,0.7663
approach (GPT-5.6-terra),gpt-5.6-terra,run3,bigbluebutton,0.8730,0.8871,0.8800,0.8842,0.0000,0.6790,0.9156,0.7797,0.8560,0.8944,0.9045,0.4444,0.5556,0.8005,0.8155
approach (GPT-5.6-terra),gpt-5.6-terra,run3,jabref,1.0000,1.0000,1.0000,1.0000,0.0000,0.9995,1.0000,0.9998,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
approach (GPT-5.6-luna),gpt-5.6-luna,run1,mediastore,0.9062,0.9355,0.9206,0.9295,0.0000,0.8393,0.7966,0.8174,0.8048,0.9123,0.9220,0.6545,0.6475,0.9324,0.9236
approach (GPT-5.6-luna),gpt-5.6-luna,run1,teastore,0.9286,0.9630,0.9455,0.9559,0.0000,0.9699,0.9576,0.9637,0.9600,0.9455,0.9559,0.9091,0.8621,0.9704,0.9688
approach (GPT-5.6-luna),gpt-5.6-luna,run1,teammates,0.6207,0.9474,0.7500,0.8571,0.0000,0.7682,0.8375,0.8013,0.8226,0.6455,0.5843,0.3000,0.4688,0.6552,0.7329
approach (GPT-5.6-luna),gpt-5.6-luna,run1,bigbluebutton,0.7937,0.8065,0.8000,0.8039,0.0000,0.6882,0.8273,0.7514,0.7952,0.8250,0.8312,0.5000,0.5556,0.7762,0.8014
approach (GPT-5.6-luna),gpt-5.6-luna,run1,jabref,0.9474,1.0000,0.9730,0.9890,0.0000,0.9973,1.0000,0.9987,0.9995,0.9778,0.9910,0.8000,0.9091,0.9600,0.9836
approach (GPT-5.6-luna),gpt-5.6-luna,run2,mediastore,0.9062,0.9355,0.9206,0.9295,0.0000,0.8393,0.7966,0.8174,0.8048,0.9123,0.9220,0.6545,0.6475,0.9324,0.9236
approach (GPT-5.6-luna),gpt-5.6-luna,run2,teastore,0.9630,0.9630,0.9630,0.9630,0.0000,0.9971,0.9576,0.9769,0.9652,0.9630,0.9630,0.9091,0.8621,0.9836,0.9740
approach (GPT-5.6-luna),gpt-5.6-luna,run2,teammates,0.7222,0.9123,0.8062,0.8667,0.0000,0.7943,0.8036,0.7989,0.8017,0.6257,0.5469,0.5000,0.6117,0.7490,0.7711
approach (GPT-5.6-luna),gpt-5.6-luna,run2,bigbluebutton,0.9107,0.8226,0.8644,0.8388,0.0000,0.7745,0.9097,0.8367,0.8790,0.9032,0.8929,0.6667,0.5556,0.8530,0.8384
approach (GPT-5.6-luna),gpt-5.6-luna,run2,jabref,1.0000,1.0000,1.0000,1.0000,0.0000,0.9995,1.0000,0.9998,0.9999,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
approach (GPT-5.6-luna),gpt-5.6-luna,run3,mediastore,0.9091,0.9677,0.9375,0.9554,0.0000,0.8448,0.8305,0.8376,0.8333,0.9310,0.9507,0.6545,0.6475,0.9446,0.9430
approach (GPT-5.6-luna),gpt-5.6-luna,run3,teastore,0.9310,1.0000,0.9643,0.9854,0.0000,0.9712,1.0000,0.9854,0.9941,0.9643,0.9854,0.9231,0.9677,0.9863,0.9945
approach (GPT-5.6-luna),gpt-5.6-luna,run3,teammates,0.6341,0.9123,0.7482,0.8387,0.0000,0.7533,0.7844,0.7685,0.7779,0.6170,0.5566,0.4444,0.6117,0.7030,0.7529
approach (GPT-5.6-luna),gpt-5.6-luna,run3,bigbluebutton,0.8750,0.9032,0.8889,0.8974,0.0000,0.7113,0.9281,0.8053,0.8747,0.9136,0.9273,0.5000,0.7143,0.8489,0.8871
approach (GPT-5.6-luna),gpt-5.6-luna,run3,jabref,0.9000,1.0000,0.9474,0.9783,0.0000,0.8927,1.0000,0.9433,0.9765,0.9565,0.9821,0.8000,0.9091,0.9412,0.9756
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,mediastore,0.9677,0.9677,0.9677,0.9677,0.0000,0.9821,0.9322,0.9565,0.9418,0.9643,0.9643,0.6667,0.8333,0.9391,0.9643
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,teastore,0.5652,0.9630,0.7123,0.8442,0.0000,0.5700,0.9731,0.7189,0.8525,0.7123,0.8442,0.4286,0.6522,0.6606,0.8160
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,teammates,1.0000,0.6491,0.7872,0.6981,8.7719,1.0000,0.5849,0.7381,0.6379,0.5000,0.3846,0.6000,0.4839,0.7330,0.6318
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,bigbluebutton,0.7818,0.6935,0.7350,0.7096,0.0000,0.6436,0.8633,0.7374,0.8081,0.8054,0.7772,0.3333,0.2778,0.6752,0.6743
Artemis (GPT-5.6-terra),gpt-5.6-terra,run1,jabref,0.8000,0.8889,0.8421,0.8696,11.1111,0.7903,0.9956,0.8812,0.9465,0.8511,0.8850,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,mediastore,0.8571,0.9677,0.9091,0.9434,0.0000,0.8871,0.9322,0.9091,0.9228,0.9310,0.9507,0.6667,0.8333,0.9391,0.9643
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,teastore,0.5745,1.0000,0.7297,0.8710,0.0000,0.5767,1.0000,0.7315,0.8720,0.7297,0.8710,0.4286,0.6522,0.6704,0.8357
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,teammates,0.8919,0.5789,0.7021,0.6226,17.5439,0.9527,0.5650,0.7094,0.6151,0.4730,0.3638,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,bigbluebutton,0.7407,0.6452,0.6897,0.6623,0.0000,0.6270,0.8522,0.7225,0.7951,0.7662,0.7545,0.3333,0.2778,0.6602,0.6628
Artemis (GPT-5.6-terra),gpt-5.6-terra,run2,jabref,0.9000,1.0000,0.9474,0.9783,0.0000,0.9681,1.0000,0.9838,0.9935,0.9565,0.9821,0.8000,0.9091,0.9474,0.9783
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,mediastore,0.8824,0.9677,0.9231,0.9494,0.0000,0.9016,0.9322,0.9167,0.9259,0.9474,0.9574,0.9231,0.8824,0.9908,0.9854
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,teastore,0.5778,0.9630,0.7222,0.8497,0.0000,0.5791,0.9731,0.7261,0.8566,0.7222,0.8497,0.4286,0.6522,0.6679,0.8204
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,teammates,0.8696,0.7018,0.7767,0.7299,8.7719,0.8253,0.6793,0.7452,0.7042,0.5478,0.4388,0.6170,0.5017,0.7530,0.6806
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,bigbluebutton,0.8868,0.7581,0.8174,0.7807,3.2258,0.8353,0.8293,0.8323,0.8305,0.9067,0.8786,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.6-terra),gpt-5.6-terra,run3,jabref,0.7826,1.0000,0.8780,0.9474,0.0000,0.7897,1.0000,0.8825,0.9494,0.8800,0.9483,0.8000,0.9091,0.8834,0.9499
Artemis (GPT-5.4),gpt-5.4,single,mediastore,1.0000,0.8710,0.9310,0.8940,0.0000,1.0000,0.7797,0.8762,0.8156,0.9231,0.8824,0.7273,0.6250,0.9432,0.9122
Artemis (GPT-5.4),gpt-5.4,single,teastore,0.9524,0.7407,0.8333,0.7752,0.0000,0.9901,0.7086,0.8261,0.7513,0.8333,0.7752,0.6667,0.5556,0.8304,0.7653
Artemis (GPT-5.4),gpt-5.4,single,teammates,0.7692,0.7018,0.7339,0.7143,8.7719,0.8646,0.6686,0.7541,0.7004,0.5419,0.4303,0.6609,0.5637,0.7573,0.6814
Artemis (GPT-5.4),gpt-5.4,single,bigbluebutton,0.9268,0.6129,0.7379,0.6574,3.2258,0.8519,0.7371,0.7903,0.7575,0.7941,0.7239,0.0000,0.0000,0.0000,0.0000
Artemis (GPT-5.4),gpt-5.4,single,jabref,1.0000,0.8889,0.9412,0.9091,11.1111,0.9995,0.9956,0.9976,0.9964,0.9524,0.9259,0.0000,0.0000,0.0000,0.0000
TransArC,deterministic,single,mediastore,0.9444,0.5484,0.6939,0.5986,35.4839,0.9615,0.4237,0.5882,0.4771,0.7391,0.6538,0.0000,0.0000,0.0000,0.0000
TransArC,deterministic,single,teastore,1.0000,0.7407,0.8511,0.7812,0.0000,1.0000,0.7086,0.8295,0.7525,0.8511,0.7812,0.6667,0.5556,0.8421,0.7692
TransArC,deterministic,single,teammates,0.6049,0.8596,0.7101,0.7929,0.0000,0.7531,0.9024,0.8211,0.8680,0.7158,0.6501,0.5366,0.6548,0.7570,0.8156
TransArC,deterministic,single,bigbluebutton,0.8980,0.7097,0.7928,0.7407,0.0000,0.8203,0.8417,0.8309,0.8373,0.8322,0.8031,0.5714,0.4545,0.8377,0.8029
TransArC,deterministic,single,jabref,0.9000,1.0000,0.9474,0.9783,0.0000,0.8927,1.0000,0.9433,0.9765,0.9565,0.9821,0.8000,0.9091,0.9412,0.9756
