backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,average,partial_name_only,bigbluebutton,0.740668,0.284946,0.410929,0.324730
terra,average,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
terra,average,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
terra,average,coref_only,teastore,1.000000,0.296296,0.457143,0.344828
terra,average,coref_only,teammates,0.911494,0.304094,0.455423,0.350674
terra,average,coref_only,bigbluebutton,1.000000,0.155914,0.268806,0.187372
terra,average,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
terra,average,full,mediastore,0.911765,1.000000,0.953846,0.981013
terra,average,full,teastore,1.000000,0.962963,0.981132,0.970149
terra,average,full,teammates,0.809481,0.941520,0.870319,0.911625
terra,average,full,bigbluebutton,0.848523,0.930108,0.887318,0.912471
terra,average,full,jabref,1.000000,1.000000,1.000000,1.000000
luna,run1,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,run1,full_name_only,teastore,0.954545,0.777778,0.857143,0.807692
luna,run1,full_name_only,teammates,0.666667,0.877193,0.757576,0.825083
luna,run1,full_name_only,bigbluebutton,0.847458,0.806452,0.826446,0.814332
luna,run1,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,bigbluebutton,0.600000,0.096774,0.166667,0.116279
luna,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run1,coref_only,mediastore,1.000000,0.096774,0.176471,0.118110
luna,run1,coref_only,teastore,0.800000,0.296296,0.432432,0.338983
luna,run1,coref_only,teammates,0.888889,0.140351,0.242424,0.168776
luna,run1,coref_only,bigbluebutton,0.888889,0.129032,0.225352,0.155642
luna,run1,coref_only,jabref,0.500000,0.055556,0.100000,0.067568
luna,run1,full,mediastore,0.911765,1.000000,0.953846,0.981013
luna,run1,full,teastore,0.900000,1.000000,0.947368,0.978261
luna,run1,full,teammates,0.597826,0.964912,0.738255,0.859375
luna,run1,full,bigbluebutton,0.805556,0.935484,0.865672,0.906250
luna,run1,full,jabref,0.857143,1.000000,0.923077,0.967742
luna,run2,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,run2,full_name_only,teastore,0.954545,0.777778,0.857143,0.807692
luna,run2,full_name_only,teammates,0.632911,0.877193,0.735294,0.814332
luna,run2,full_name_only,bigbluebutton,0.933333,0.677419,0.785047,0.716724
luna,run2,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,bigbluebutton,0.800000,0.258065,0.390244,0.298507
luna,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run2,coref_only,mediastore,1.000000,0.129032,0.228571,0.156250
luna,run2,coref_only,teastore,1.000000,0.407407,0.578947,0.462185
luna,run2,coref_only,teammates,0.947368,0.315789,0.473684,0.364372
luna,run2,coref_only,bigbluebutton,0.923077,0.193548,0.320000,0.229885
luna,run2,coref_only,jabref,0.666667,0.111111,0.190476,0.133333
luna,run2,full,mediastore,0.911765,1.000000,0.953846,0.981013
luna,run2,full,teastore,0.962963,0.962963,0.962963,0.962963
luna,run2,full,teammates,0.587629,1.000000,0.740260,0.876923
luna,run2,full,bigbluebutton,0.895522,0.967742,0.930233,0.952381
luna,run2,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,run3,full_name_only,teastore,0.875000,0.777778,0.823529,0.795455
luna,run3,full_name_only,teammates,0.597701,0.912281,0.722222,0.825397
luna,run3,full_name_only,bigbluebutton,0.933333,0.677419,0.785047,0.716724
luna,run3,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,bigbluebutton,0.846154,0.177419,0.293333,0.210728
luna,run3,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run3,coref_only,mediastore,1.000000,0.354839,0.523810,0.407407
luna,run3,coref_only,teastore,0.909091,0.370370,0.526316,0.420168
luna,run3,coref_only,teammates,0.875000,0.245614,0.383562,0.286885
luna,run3,coref_only,bigbluebutton,1.000000,0.161290,0.277778,0.193798
luna,run3,coref_only,jabref,0.666667,0.111111,0.190476,0.133333
luna,run3,full,mediastore,0.911765,1.000000,0.953846,0.981013
luna,run3,full,teastore,0.870968,1.000000,0.931034,0.971223
luna,run3,full,teammates,0.553398,1.000000,0.712500,0.861027
luna,run3,full,bigbluebutton,0.916667,0.887097,0.901639,0.892857
luna,run3,full,jabref,0.857143,1.000000,0.923077,0.967742
luna,average,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,average,full_name_only,teastore,0.928030,0.777778,0.845938,0.803613
luna,average,full_name_only,teammates,0.632426,0.888889,0.738364,0.821604
luna,average,full_name_only,bigbluebutton,0.904708,0.720430,0.798847,0.749260
luna,average,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,average,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,bigbluebutton,0.748718,0.177419,0.283415,0.208505
luna,average,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,average,coref_only,mediastore,1.000000,0.193548,0.309617,0.227256
luna,average,coref_only,teastore,0.903030,0.358025,0.512565,0.407112
luna,average,coref_only,teammates,0.903752,0.233918,0.366557,0.273345
luna,average,coref_only,bigbluebutton,0.937322,0.161290,0.274377,0.193109
luna,average,coref_only,jabref,0.611111,0.092593,0.160317,0.111411
luna,average,full,mediastore,0.911765,1.000000,0.953846,0.981013
luna,average,full,teastore,0.911310,0.987654,0.947122,0.970816
luna,average,full,teammates,0.579618,0.988304,0.730338,0.865775
luna,average,full,bigbluebutton,0.872582,0.930108,0.899181,0.917163
luna,average,full,jabref,0.871429,1.000000,0.931174,0.971248
