group,model,arm,run,project,label,chars
fullname5,terra,anchorref,2,teammates,Validation pass,11480
fullname5,terra,nosource,2,teammates,Validation pass,23794
fullname5,terra,nosource,2,teammates,Validation pass,24516
fullname5,terra,nosource,2,teammates,Validation pass,15214
fullname5,terra,ctl,2,bigbluebutton,Validation pass,18125
fullname5,terra,ctl,2,bigbluebutton,Validation pass,16389
fullname5,terra,anchorblock,2,bigbluebutton,Validation pass,13224
fullname5,terra,anchorblock,2,bigbluebutton,Validation pass,11476
fullname5,terra,anchorref,2,bigbluebutton,Validation pass,13923
fullname5,terra,anchorref,2,bigbluebutton,Validation pass,12124
fullname5,terra,nosource,2,bigbluebutton,Validation pass,17675
fullname5,terra,nosource,2,bigbluebutton,Validation pass,16011
fullname5,terra,ctl,2,jabref,Validation pass,21317
fullname5,terra,anchorblock,2,jabref,Validation pass,12432
fullname5,terra,anchorref,2,jabref,Validation pass,13114
fullname5,terra,nosource,2,jabref,Validation pass,20957
fullname5,terra,ctl,3,mediastore,Validation pass,15565
fullname5,terra,anchorblock,3,mediastore,Validation pass,13078
fullname5,terra,anchorref,3,mediastore,Validation pass,13548
fullname5,terra,nosource,3,mediastore,Validation pass,15133
fullname5,terra,ctl,3,teastore,Validation pass,18154
fullname5,terra,anchorblock,3,teastore,Validation pass,12804
fullname5,terra,anchorref,3,teastore,Validation pass,13522
fullname5,terra,nosource,3,teastore,Validation pass,17704
fullname5,terra,ctl,3,teammates,Validation pass,24398
fullname5,terra,ctl,3,teammates,Validation pass,25659
fullname5,terra,ctl,3,teammates,Validation pass,3414
fullname5,terra,anchorblock,3,teammates,Validation pass,14546
fullname5,terra,anchorblock,3,teammates,Validation pass,14756
fullname5,terra,anchorblock,3,teammates,Validation pass,3506
fullname5,terra,anchorref,3,teammates,Validation pass,15370
fullname5,terra,anchorref,3,teammates,Validation pass,15616
fullname5,terra,anchorref,3,teammates,Validation pass,3414
fullname5,terra,nosource,3,teammates,Validation pass,23948
fullname5,terra,nosource,3,teammates,Validation pass,25209
fullname5,terra,nosource,3,teammates,Validation pass,3378
fullname5,terra,ctl,3,bigbluebutton,Validation pass,17518
fullname5,terra,ctl,3,bigbluebutton,Validation pass,11279
fullname5,terra,anchorblock,3,bigbluebutton,Validation pass,12720
fullname5,terra,anchorblock,3,bigbluebutton,Validation pass,8308
fullname5,terra,anchorref,3,bigbluebutton,Validation pass,13420
fullname5,terra,anchorref,3,bigbluebutton,Validation pass,8702
fullname5,terra,nosource,3,bigbluebutton,Validation pass,17068
fullname5,terra,nosource,3,bigbluebutton,Validation pass,11009
fullname5,terra,ctl,3,jabref,Validation pass,21317
fullname5,terra,anchorblock,3,jabref,Validation pass,12432
fullname5,terra,anchorref,3,jabref,Validation pass,13114
fullname5,terra,nosource,3,jabref,Validation pass,20957
coref5,terra,ctl,1,mediastore,Validation pass,6101
coref5,terra,noartifact,1,mediastore,Validation pass,5885
coref5,terra,ctl,1,teastore,Validation pass,9922
coref5,terra,ctl,1,teastore,Validation pass,3517
coref5,terra,noartifact,1,teastore,Validation pass,9706
coref5,terra,noartifact,1,teastore,Validation pass,3301
coref5,terra,ctl,1,teammates,Validation pass,8884
coref5,terra,ctl,1,teammates,Validation pass,10298
coref5,terra,ctl,1,teammates,Validation pass,11737
coref5,terra,ctl,1,teammates,Validation pass,2439
coref5,terra,noartifact,1,teammates,Validation pass,8668
coref5,terra,noartifact,1,teammates,Validation pass,10082
coref5,terra,noartifact,1,teammates,Validation pass,11521
coref5,terra,noartifact,1,teammates,Validation pass,2223
coref5,terra,ctl,1,bigbluebutton,Validation pass,11820
coref5,terra,ctl,1,bigbluebutton,Validation pass,10196
coref5,terra,ctl,1,bigbluebutton,Validation pass,5473
coref5,terra,noartifact,1,bigbluebutton,Validation pass,11604
coref5,terra,noartifact,1,bigbluebutton,Validation pass,9980
coref5,terra,noartifact,1,bigbluebutton,Validation pass,5257
coref5,terra,ctl,1,jabref,Validation pass,5634
coref5,terra,noartifact,1,jabref,Validation pass,5418
coref5,terra,ctl,2,mediastore,Validation pass,7394
coref5,terra,noartifact,2,mediastore,Validation pass,7178
coref5,terra,ctl,2,teastore,Validation pass,9627
coref5,terra,ctl,2,teastore,Validation pass,4353
coref5,terra,noartifact,2,teastore,Validation pass,9411
coref5,terra,noartifact,2,teastore,Validation pass,4137
coref5,terra,ctl,2,teammates,Validation pass,8889
coref5,terra,ctl,2,teammates,Validation pass,10547
coref5,terra,ctl,2,teammates,Validation pass,6514
coref5,terra,noartifact,2,teammates,Validation pass,8673
coref5,terra,noartifact,2,teammates,Validation pass,10331
coref5,terra,noartifact,2,teammates,Validation pass,6298
coref5,terra,ctl,2,bigbluebutton,Validation pass,11567
coref5,terra,ctl,2,bigbluebutton,Validation pass,10116
coref5,terra,ctl,2,bigbluebutton,Validation pass,5108
coref5,terra,noartifact,2,bigbluebutton,Validation pass,11351
coref5,terra,noartifact,2,bigbluebutton,Validation pass,9900
coref5,terra,noartifact,2,bigbluebutton,Validation pass,4892
coref5,terra,ctl,2,jabref,Validation pass,5522
coref5,terra,noartifact,2,jabref,Validation pass,5306
coref5,terra,ctl,3,mediastore,Validation pass,7403
coref5,terra,noartifact,3,mediastore,Validation pass,7187
coref5,terra,ctl,3,teastore,Validation pass,9718
coref5,terra,ctl,3,teastore,Validation pass,2323
coref5,terra,noartifact,3,teastore,Validation pass,9502
coref5,terra,noartifact,3,teastore,Validation pass,2107
coref5,terra,ctl,3,teammates,Validation pass,8935
coref5,terra,ctl,3,teammates,Validation pass,10384
coref5,terra,ctl,3,teammates,Validation pass,6391
coref5,terra,noartifact,3,teammates,Validation pass,8719
coref5,terra,noartifact,3,teammates,Validation pass,10168
coref5,terra,noartifact,3,teammates,Validation pass,6175
coref5,terra,ctl,3,bigbluebutton,Validation pass,11932
coref5,terra,ctl,3,bigbluebutton,Validation pass,10303
coref5,terra,ctl,3,bigbluebutton,Validation pass,6442
coref5,terra,noartifact,3,bigbluebutton,Validation pass,11716
coref5,terra,noartifact,3,bigbluebutton,Validation pass,10087
coref5,terra,noartifact,3,bigbluebutton,Validation pass,6226
coref5,terra,ctl,3,jabref,Validation pass,5613
coref5,terra,noartifact,3,jabref,Validation pass,5397
denot2,terra,ctl,1,teammates,Denotation,12210
denot2,terra,ctl,1,teammates,Denotation,3387
denot2,terra,nodenotqual,1,teammates,Denotation,12042
denot2,terra,nodenotqual,1,teammates,Denotation,3219
denot2,terra,ctl,1,bigbluebutton,Denotation,5186
denot2,terra,ctl,1,bigbluebutton,Denotation,8591
denot2,terra,ctl,1,bigbluebutton,Denotation,2933
denot2,terra,nodenotqual,1,bigbluebutton,Denotation,5018
denot2,terra,nodenotqual,1,bigbluebutton,Denotation,8423
denot2,terra,nodenotqual,1,bigbluebutton,Denotation,2765
denot2,terra,ctl,2,teammates,Denotation,10911
denot2,terra,ctl,2,teammates,Denotation,2563
denot2,terra,nodenotqual,2,teammates,Denotation,10743
denot2,terra,nodenotqual,2,teammates,Denotation,2395
denot2,terra,ctl,2,bigbluebutton,Denotation,5186
denot2,terra,ctl,2,bigbluebutton,Denotation,8591
denot2,terra,ctl,2,bigbluebutton,Denotation,2933
denot2,terra,nodenotqual,2,bigbluebutton,Denotation,5018
denot2,terra,nodenotqual,2,bigbluebutton,Denotation,8423
denot2,terra,nodenotqual,2,bigbluebutton,Denotation,2765
denot2,terra,ctl,3,teammates,Denotation,12176
denot2,terra,ctl,3,teammates,Denotation,3234
denot2,terra,nodenotqual,3,teammates,Denotation,12008
denot2,terra,nodenotqual,3,teammates,Denotation,3066
denot2,terra,ctl,3,bigbluebutton,Denotation,5186
denot2,terra,ctl,3,bigbluebutton,Denotation,8591
denot2,terra,ctl,3,bigbluebutton,Denotation,2933
denot2,terra,nodenotqual,3,bigbluebutton,Denotation,5018
denot2,terra,nodenotqual,3,bigbluebutton,Denotation,8423
denot2,terra,nodenotqual,3,bigbluebutton,Denotation,2765
fullname6,terra,ctl,1,mediastore,Validation pass,16007
fullname6,terra,ctl,1,mediastore,Validation pass,2481
fullname6,terra,anchorunion,1,mediastore,Validation pass,14562
fullname6,terra,anchorunion,1,mediastore,Validation pass,2481
fullname6,terra,ctl,1,teastore,Validation pass,18154
fullname6,terra,anchorunion,1,teastore,Validation pass,13845
fullname6,terra,ctl,1,teammates,Validation pass,23597
fullname6,terra,ctl,1,teammates,Validation pass,25751
fullname6,terra,ctl,1,teammates,Validation pass,11526
fullname6,terra,anchorunion,1,teammates,Validation pass,15629
fullname6,terra,anchorunion,1,teammates,Validation pass,15136
fullname6,terra,anchorunion,1,teammates,Validation pass,8971
fullname6,terra,ctl,1,bigbluebutton,Validation pass,18115
fullname6,terra,ctl,1,bigbluebutton,Validation pass,13174
fullname6,terra,anchorunion,1,bigbluebutton,Validation pass,14145
fullname6,terra,anchorunion,1,bigbluebutton,Validation pass,10528
fullname6,terra,ctl,1,jabref,Validation pass,23582
fullname6,terra,anchorunion,1,jabref,Validation pass,14719
fullname6,terra,ctl,2,mediastore,Validation pass,16007
fullname6,terra,ctl,2,mediastore,Validation pass,2481
fullname6,terra,anchorunion,2,mediastore,Validation pass,14562
fullname6,terra,anchorunion,2,mediastore,Validation pass,2481
fullname6,terra,ctl,2,teastore,Validation pass,15558
fullname6,terra,anchorunion,2,teastore,Validation pass,12410
fullname6,terra,ctl,2,teammates,Validation pass,24244
fullname6,terra,ctl,2,teammates,Validation pass,24966
fullname6,terra,ctl,2,teammates,Validation pass,15466
fullname6,terra,anchorunion,2,teammates,Validation pass,16150
fullname6,terra,anchorunion,2,teammates,Validation pass,14900
fullname6,terra,anchorunion,2,teammates,Validation pass,11680
fullname6,terra,ctl,2,bigbluebutton,Validation pass,18125
fullname6,terra,ctl,2,bigbluebutton,Validation pass,11287
fullname6,terra,anchorunion,2,bigbluebutton,Validation pass,14155
fullname6,terra,anchorunion,2,bigbluebutton,Validation pass,9400
fullname6,terra,ctl,2,jabref,Validation pass,21317
fullname6,terra,anchorunion,2,jabref,Validation pass,13894
fullname6,terra,ctl,3,mediastore,Validation pass,15565
fullname6,terra,anchorunion,3,mediastore,Validation pass,14120
fullname6,terra,ctl,3,teastore,Validation pass,18154
fullname6,terra,anchorunion,3,teastore,Validation pass,13845
fullname6,terra,ctl,3,teammates,Validation pass,23928
fullname6,terra,ctl,3,teammates,Validation pass,25752
fullname6,terra,ctl,3,teammates,Validation pass,2426
fullname6,terra,anchorunion,3,teammates,Validation pass,15824
fullname6,terra,anchorunion,3,teammates,Validation pass,16255
fullname6,terra,anchorunion,3,teammates,Validation pass,2426
fullname6,terra,ctl,3,bigbluebutton,Validation pass,17518
fullname6,terra,ctl,3,bigbluebutton,Validation pass,12514
fullname6,terra,anchorunion,3,bigbluebutton,Validation pass,13728
fullname6,terra,anchorunion,3,bigbluebutton,Validation pass,10385
fullname6,terra,ctl,3,jabref,Validation pass,21317
fullname6,terra,anchorunion,3,jabref,Validation pass,13894
fullname6,luna,ctl,1,mediastore,Validation pass,16007
fullname6,luna,ctl,1,mediastore,Validation pass,2481
fullname6,luna,anchorunion,1,mediastore,Validation pass,14562
fullname6,luna,anchorunion,1,mediastore,Validation pass,2481
fullname6,luna,ctl,1,teastore,Validation pass,14219
fullname6,luna,anchorunion,1,teastore,Validation pass,11886
fullname6,luna,ctl,1,teammates,Validation pass,23779
fullname6,luna,ctl,1,teammates,Validation pass,24489
fullname6,luna,ctl,1,teammates,Validation pass,22738
fullname6,luna,anchorunion,1,teammates,Validation pass,16152
fullname6,luna,anchorunion,1,teammates,Validation pass,13954
fullname6,luna,anchorunion,1,teammates,Validation pass,15629
fullname6,luna,ctl,1,bigbluebutton,Validation pass,18703
fullname6,luna,ctl,1,bigbluebutton,Validation pass,11886
fullname6,luna,anchorunion,1,bigbluebutton,Validation pass,14336
fullname6,luna,anchorunion,1,bigbluebutton,Validation pass,9777
fullname6,luna,ctl,1,jabref,Validation pass,20052
fullname6,luna,anchorunion,1,jabref,Validation pass,13276
fullname6,luna,ctl,2,mediastore,Validation pass,16007
fullname6,luna,ctl,2,mediastore,Validation pass,2481
fullname6,luna,anchorunion,2,mediastore,Validation pass,14562
fullname6,luna,anchorunion,2,mediastore,Validation pass,2481
fullname6,luna,ctl,2,teastore,Validation pass,14412
fullname6,luna,anchorunion,2,teastore,Validation pass,11922
fullname6,luna,ctl,2,teammates,Validation pass,24862
fullname6,luna,ctl,2,teammates,Validation pass,26751
fullname6,luna,ctl,2,teammates,Validation pass,17746
fullname6,luna,anchorunion,2,teammates,Validation pass,15851
fullname6,luna,anchorunion,2,teammates,Validation pass,14710
fullname6,luna,anchorunion,2,teammates,Validation pass,13215
fullname6,luna,ctl,2,bigbluebutton,Validation pass,19083
fullname6,luna,ctl,2,bigbluebutton,Validation pass,16396
fullname6,luna,anchorunion,2,bigbluebutton,Validation pass,13768
fullname6,luna,anchorunion,2,bigbluebutton,Validation pass,13104
fullname6,luna,ctl,2,jabref,Validation pass,20052
fullname6,luna,anchorunion,2,jabref,Validation pass,13276
fullname6,luna,ctl,3,mediastore,Validation pass,16007
fullname6,luna,ctl,3,mediastore,Validation pass,2481
fullname6,luna,anchorunion,3,mediastore,Validation pass,14562
fullname6,luna,anchorunion,3,mediastore,Validation pass,2481
fullname6,luna,ctl,3,teastore,Validation pass,15109
fullname6,luna,anchorunion,3,teastore,Validation pass,12348
fullname6,luna,ctl,3,teammates,Validation pass,24240
fullname6,luna,ctl,3,teammates,Validation pass,24604
fullname6,luna,ctl,3,teammates,Validation pass,24543
fullname6,luna,ctl,3,teammates,Validation pass,10399
fullname6,luna,anchorunion,3,teammates,Validation pass,15639
fullname6,luna,anchorunion,3,teammates,Validation pass,14719
fullname6,luna,anchorunion,3,teammates,Validation pass,15606
fullname6,luna,anchorunion,3,teammates,Validation pass,7644
fullname6,luna,ctl,3,bigbluebutton,Validation pass,18312
fullname6,luna,ctl,3,bigbluebutton,Validation pass,17206
fullname6,luna,anchorunion,3,bigbluebutton,Validation pass,13930
fullname6,luna,anchorunion,3,bigbluebutton,Validation pass,13219
fullname6,luna,ctl,3,jabref,Validation pass,20052
fullname6,luna,anchorunion,3,jabref,Validation pass,13276
resolve3,terra,ctl,1,mediastore,Coref batch 1,4706
resolve3,terra,ctl,1,mediastore,Coref batch 2,5387
resolve3,terra,ctl,1,mediastore,Coref batch 3,5205
resolve3,terra,ctl,1,mediastore,Coref batch 4,3671
resolve3,terra,ctl,1,mediastore,Validation pass,5859
resolve3,terra,nocasectx,1,mediastore,Coref batch 1,4380
resolve3,terra,nocasectx,1,mediastore,Coref batch 2,5051
resolve3,terra,nocasectx,1,mediastore,Coref batch 3,4865
resolve3,terra,nocasectx,1,mediastore,Coref batch 4,3433
resolve3,terra,nocasectx,1,mediastore,Validation pass,7026
resolve3,terra,notargetrows,1,mediastore,Coref batch 1,3354
resolve3,terra,notargetrows,1,mediastore,Coref batch 2,4028
resolve3,terra,notargetrows,1,mediastore,Coref batch 3,4019
resolve3,terra,notargetrows,1,mediastore,Coref batch 4,2787
resolve3,terra,notargetrows,1,mediastore,Validation pass,7090
resolve3,terra,ctl,1,teastore,Coref batch 1,4329
resolve3,terra,ctl,1,teastore,Coref batch 2,5360
resolve3,terra,ctl,1,teastore,Coref batch 3,5176
resolve3,terra,ctl,1,teastore,Coref batch 4,5026
resolve3,terra,ctl,1,teastore,Coref batch 5,2504
resolve3,terra,ctl,1,teastore,Validation pass,9842
resolve3,terra,ctl,1,teastore,Validation pass,4249
resolve3,terra,nocasectx,1,teastore,Coref batch 1,4003
resolve3,terra,nocasectx,1,teastore,Coref batch 2,5024
resolve3,terra,nocasectx,1,teastore,Coref batch 3,4836
resolve3,terra,nocasectx,1,teastore,Coref batch 4,4686
resolve3,terra,nocasectx,1,teastore,Coref batch 5,2402
resolve3,terra,nocasectx,1,teastore,Validation pass,9878
resolve3,terra,nocasectx,1,teastore,Validation pass,3861
resolve3,terra,notargetrows,1,teastore,Coref batch 1,3210
resolve3,terra,notargetrows,1,teastore,Coref batch 2,4022
resolve3,terra,notargetrows,1,teastore,Coref batch 3,3960
resolve3,terra,notargetrows,1,teastore,Coref batch 4,3638
resolve3,terra,notargetrows,1,teastore,Coref batch 5,2172
resolve3,terra,notargetrows,1,teastore,Validation pass,10738
resolve3,terra,notargetrows,1,teastore,Validation pass,4003
resolve3,terra,ctl,1,teammates,Coref batch 1,4283
resolve3,terra,ctl,1,teammates,Coref batch 2,4574
resolve3,terra,ctl,1,teammates,Coref batch 3,4498
resolve3,terra,ctl,1,teammates,Coref batch 4,4579
resolve3,terra,ctl,1,teammates,Coref batch 5,4985
resolve3,terra,ctl,1,teammates,Coref batch 6,4980
resolve3,terra,ctl,1,teammates,Coref batch 7,5005
resolve3,terra,ctl,1,teammates,Coref batch 8,5262
resolve3,terra,ctl,1,teammates,Coref batch 9,4528
resolve3,terra,ctl,1,teammates,Coref batch 10,4333
resolve3,terra,ctl,1,teammates,Coref batch 11,4358
resolve3,terra,ctl,1,teammates,Coref batch 12,4368
resolve3,terra,ctl,1,teammates,Coref batch 13,4812
resolve3,terra,ctl,1,teammates,Coref batch 14,5138
resolve3,terra,ctl,1,teammates,Coref batch 15,4805
resolve3,terra,ctl,1,teammates,Coref batch 16,4422
resolve3,terra,ctl,1,teammates,Coref batch 17,4646
resolve3,terra,ctl,1,teammates,Coref batch 18,4819
resolve3,terra,ctl,1,teammates,Coref batch 19,4859
resolve3,terra,ctl,1,teammates,Coref batch 20,3536
resolve3,terra,ctl,1,teammates,Validation pass,9598
resolve3,terra,ctl,1,teammates,Validation pass,9769
resolve3,terra,ctl,1,teammates,Validation pass,11103
resolve3,terra,ctl,1,teammates,Validation pass,1986
resolve3,terra,nocasectx,1,teammates,Coref batch 1,3957
resolve3,terra,nocasectx,1,teammates,Coref batch 2,4238
resolve3,terra,nocasectx,1,teammates,Coref batch 3,4158
resolve3,terra,nocasectx,1,teammates,Coref batch 4,4239
resolve3,terra,nocasectx,1,teammates,Coref batch 5,4645
resolve3,terra,nocasectx,1,teammates,Coref batch 6,4640
resolve3,terra,nocasectx,1,teammates,Coref batch 7,4665
resolve3,terra,nocasectx,1,teammates,Coref batch 8,4922
resolve3,terra,nocasectx,1,teammates,Coref batch 9,4188
resolve3,terra,nocasectx,1,teammates,Coref batch 10,3987
resolve3,terra,nocasectx,1,teammates,Coref batch 11,4002
resolve3,terra,nocasectx,1,teammates,Coref batch 12,4008
resolve3,terra,nocasectx,1,teammates,Coref batch 13,4452
resolve3,terra,nocasectx,1,teammates,Coref batch 14,4778
resolve3,terra,nocasectx,1,teammates,Coref batch 15,4445
resolve3,terra,nocasectx,1,teammates,Coref batch 16,4062
resolve3,terra,nocasectx,1,teammates,Coref batch 17,4286
resolve3,terra,nocasectx,1,teammates,Coref batch 18,4459
resolve3,terra,nocasectx,1,teammates,Coref batch 19,4499
resolve3,terra,nocasectx,1,teammates,Coref batch 20,3248
resolve3,terra,nocasectx,1,teammates,Validation pass,8870
resolve3,terra,nocasectx,1,teammates,Validation pass,10405
resolve3,terra,nocasectx,1,teammates,Validation pass,8851
resolve3,terra,notargetrows,1,teammates,Coref batch 1,3048
resolve3,terra,notargetrows,1,teammates,Coref batch 2,3487
resolve3,terra,notargetrows,1,teammates,Coref batch 3,3441
resolve3,terra,notargetrows,1,teammates,Coref batch 4,3468
resolve3,terra,notargetrows,1,teammates,Coref batch 5,3695
resolve3,terra,notargetrows,1,teammates,Coref batch 6,3793
resolve3,terra,notargetrows,1,teammates,Coref batch 7,3848
resolve3,terra,notargetrows,1,teammates,Coref batch 8,3813
resolve3,terra,notargetrows,1,teammates,Coref batch 9,3442
resolve3,terra,notargetrows,1,teammates,Coref batch 10,3364
resolve3,terra,notargetrows,1,teammates,Coref batch 11,3326
resolve3,terra,notargetrows,1,teammates,Coref batch 12,3347
resolve3,terra,notargetrows,1,teammates,Coref batch 13,3670
resolve3,terra,notargetrows,1,teammates,Coref batch 14,3870
resolve3,terra,notargetrows,1,teammates,Coref batch 15,3601
resolve3,terra,notargetrows,1,teammates,Coref batch 16,3429
resolve3,terra,notargetrows,1,teammates,Coref batch 17,3513
resolve3,terra,notargetrows,1,teammates,Coref batch 18,3662
resolve3,terra,notargetrows,1,teammates,Coref batch 19,3662
resolve3,terra,notargetrows,1,teammates,Coref batch 20,2627
resolve3,terra,notargetrows,1,teammates,Validation pass,9607
resolve3,terra,notargetrows,1,teammates,Validation pass,10153
resolve3,terra,notargetrows,1,teammates,Validation pass,4281
resolve3,terra,ctl,1,bigbluebutton,Coref batch 1,4504
resolve3,terra,ctl,1,bigbluebutton,Coref batch 2,5534
resolve3,terra,ctl,1,bigbluebutton,Coref batch 3,5380
resolve3,terra,ctl,1,bigbluebutton,Coref batch 4,5373
resolve3,terra,ctl,1,bigbluebutton,Coref batch 5,4633
resolve3,terra,ctl,1,bigbluebutton,Coref batch 6,4495
resolve3,terra,ctl,1,bigbluebutton,Coref batch 7,4683
resolve3,terra,ctl,1,bigbluebutton,Coref batch 8,4744
resolve3,terra,ctl,1,bigbluebutton,Coref batch 9,3355
resolve3,terra,ctl,1,bigbluebutton,Validation pass,12444
resolve3,terra,ctl,1,bigbluebutton,Validation pass,10684
resolve3,terra,ctl,1,bigbluebutton,Validation pass,4378
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 1,4178
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 2,5198
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 3,5040
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 4,5033
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 5,4293
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 6,4155
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 7,4343
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 8,4404
resolve3,terra,nocasectx,1,bigbluebutton,Coref batch 9,3117
resolve3,terra,nocasectx,1,bigbluebutton,Validation pass,12165
resolve3,terra,nocasectx,1,bigbluebutton,Validation pass,10715
resolve3,terra,nocasectx,1,bigbluebutton,Validation pass,2215
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 1,3242
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 2,4094
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 3,4183
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 4,3978
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 5,3525
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 6,3422
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 7,3594
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 8,3634
resolve3,terra,notargetrows,1,bigbluebutton,Coref batch 9,2585
resolve3,terra,notargetrows,1,bigbluebutton,Validation pass,11851
resolve3,terra,notargetrows,1,bigbluebutton,Validation pass,5889
resolve3,terra,ctl,1,jabref,Coref batch 1,4559
resolve3,terra,ctl,1,jabref,Coref batch 2,2444
resolve3,terra,ctl,1,jabref,Validation pass,10146
resolve3,terra,nocasectx,1,jabref,Coref batch 1,4233
resolve3,terra,nocasectx,1,jabref,Coref batch 2,2345
resolve3,terra,nocasectx,1,jabref,Validation pass,4658
resolve3,terra,notargetrows,1,jabref,Coref batch 1,3076
resolve3,terra,notargetrows,1,jabref,Coref batch 2,2087
resolve3,terra,notargetrows,1,jabref,Validation pass,7575
resolve3,terra,ctl,2,mediastore,Coref batch 1,4706
resolve3,terra,ctl,2,mediastore,Coref batch 2,5387
resolve3,terra,ctl,2,mediastore,Coref batch 3,5205
resolve3,terra,ctl,2,mediastore,Coref batch 4,3671
resolve3,terra,ctl,2,mediastore,Validation pass,5859
resolve3,terra,nocasectx,2,mediastore,Coref batch 1,4380
resolve3,terra,nocasectx,2,mediastore,Coref batch 2,5051
resolve3,terra,nocasectx,2,mediastore,Coref batch 3,4865
resolve3,terra,nocasectx,2,mediastore,Coref batch 4,3433
resolve3,terra,nocasectx,2,mediastore,Validation pass,7026
resolve3,terra,notargetrows,2,mediastore,Coref batch 1,3354
resolve3,terra,notargetrows,2,mediastore,Coref batch 2,4028
resolve3,terra,notargetrows,2,mediastore,Coref batch 3,4019
resolve3,terra,notargetrows,2,mediastore,Coref batch 4,2787
resolve3,terra,notargetrows,2,mediastore,Validation pass,7090
resolve3,terra,ctl,2,teastore,Coref batch 1,4329
resolve3,terra,ctl,2,teastore,Coref batch 2,5360
resolve3,terra,ctl,2,teastore,Coref batch 3,5176
resolve3,terra,ctl,2,teastore,Coref batch 4,5026
