backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
luna,run2,CorefOnly,teammates,0.656224,0.191429,0.296395,0.223022,0.176000,0.000000,0.000000,0.119565,0.268765
luna,run2,Full,bigbluebutton,0.688350,0.927404,0.790192,0.867172,0.806630,0.571429,0.785038,0.955556,0.367134
luna,run2,FullNameOnly,bigbluebutton,0.862784,0.843035,0.852795,0.846912,0.842857,0.666667,0.868307,0.800000,0.130203
luna,run2,PartialNameOnly,bigbluebutton,0.443299,0.112492,0.179447,0.132226,0.382609,0.000000,0.000000,0.266667,0.608100
luna,run2,CorefOnly,bigbluebutton,0.584848,0.252453,0.352672,0.284829,0.413793,0.000000,0.000000,0.333333,0.429628
luna,run2,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.800000,0.941176,1.000000,0.082314
luna,run2,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.800000,0.941176,1.000000,0.082314
luna,run2,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,jabref,0.999655,0.350871,0.519427,0.403208,0.370370,0.000000,0.000000,0.400000,0.000353
luna,run3,Full,mediastore,0.850000,0.864407,0.857143,0.861486,0.931034,0.823529,0.959391,0.960000,0.075000
luna,run3,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
luna,run3,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,mediastore,1.000000,0.084746,0.156250,0.103734,0.133333,0.000000,0.000000,0.080000,0.000000
luna,run3,Full,teastore,0.997179,1.000000,0.998588,0.999435,0.981818,1.000000,1.000000,1.000000,0.041667
luna,run3,FullNameOnly,teastore,0.996024,0.708628,0.828099,0.752026,0.833333,0.666667,0.842105,0.695652,0.058824
luna,run3,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,teastore,1.000000,0.312588,0.476293,0.362414,0.540541,0.000000,0.000000,0.434783,0.000000
luna,run3,Full,teammates,0.786092,0.826479,0.805780,0.818073,0.662983,0.333333,0.620263,0.521739,0.228321
luna,run3,FullNameOnly,teammates,0.794318,0.790787,0.792549,0.791491,0.616279,0.333333,0.581047,0.456522,0.204507
luna,run3,PartialNameOnly,teammates,0.500000,0.002100,0.004182,0.002622,0.017699,0.000000,0.000000,0.010870,0.500000
luna,run3,CorefOnly,teammates,0.916332,0.197481,0.324934,0.234231,0.250000,0.076923,0.201149,0.173913,0.133599
luna,run3,Full,bigbluebutton,0.709355,0.927404,0.803855,0.873691,0.848837,0.500000,0.787219,0.955556,0.329794
luna,run3,FullNameOnly,bigbluebutton,0.785318,0.832570,0.808254,0.822670,0.808511,0.571429,0.805271,0.777778,0.194649
luna,run3,PartialNameOnly,bigbluebutton,0.525490,0.175278,0.262874,0.202234,0.531250,0.000000,0.000000,0.377778,0.553243
luna,run3,CorefOnly,bigbluebutton,0.709756,0.190320,0.300155,0.222954,0.400000,0.000000,0.000000,0.266667,0.225733
luna,run3,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.800000,0.941176,1.000000,0.082314
luna,run3,FullNameOnly,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.800000,0.941176,1.000000,0.082314
luna,run3,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.000000,0.000000,0.100000,0.000000
luna,average,CorefOnly,bigbluebutton,0.623687,0.261827,0.360896,0.293579,0.464649,0.000000,0.000000,0.355556,0.353285
luna,average,CorefOnly,jabref,0.999804,0.322690,0.465369,0.367049,0.330220,0.000000,0.000000,0.333333,0.000152
luna,average,CorefOnly,mediastore,1.000000,0.186441,0.305968,0.220791,0.380627,0.000000,0.000000,0.280000,0.000000
luna,average,CorefOnly,teammates,0.750852,0.170228,0.275962,0.200982,0.201140,0.025641,0.067050,0.137681,0.204960
luna,average,CorefOnly,teastore,0.993572,0.386610,0.551039,0.438604,0.530568,0.000000,0.000000,0.449276,0.083333
luna,average,Full,bigbluebutton,0.684585,0.932636,0.789287,0.869358,0.816373,0.490476,0.768187,0.962963,0.369505
luna,average,Full,jabref,0.927569,1.000000,0.961755,0.984169,0.963607,0.800000,0.947451,1.000000,0.055800
luna,average,Full,mediastore,0.851639,0.875706,0.863492,0.870776,0.943113,0.823529,0.970960,0.986667,0.073000
luna,average,Full,teammates,0.740832,0.881355,0.803468,0.848006,0.712349,0.444444,0.688233,0.601449,0.280150
luna,average,Full,teastore,0.995226,0.985856,0.990424,0.987656,0.963853,0.969697,0.994536,0.985507,0.068333
luna,average,FullNameOnly,bigbluebutton,0.812601,0.836058,0.823873,0.831070,0.819960,0.603175,0.826283,0.785185,0.170661
luna,average,FullNameOnly,jabref,0.927569,1.000000,0.961755,0.984169,0.963607,0.800000,0.947451,1.000000,0.055800
luna,average,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
luna,average,FullNameOnly,teammates,0.752382,0.853032,0.797810,0.829572,0.686391,0.448718,0.672097,0.554348,0.268959
luna,average,FullNameOnly,teastore,0.996072,0.717586,0.834138,0.760057,0.841270,0.666667,0.848142,0.710145,0.057735
luna,average,PartialNameOnly,bigbluebutton,0.489890,0.157837,0.237771,0.182313,0.483724,0.000000,0.000000,0.348148,0.582994
luna,average,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,average,PartialNameOnly,teammates,0.166667,0.000700,0.001394,0.000874,0.005900,0.000000,0.000000,0.003623,0.500000
luna,average,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,CorefOnly,bigbluebutton,0.740459,0.042948,0.080558,0.052804,0.132904,0.000000,0.000000,0.088889,0.171891
terra,average,CorefOnly,jabref,0.999655,0.194727,0.322336,0.231289,0.234114,0.000000,0.000000,0.166667,0.000348
terra,average,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.000000,0.000000,0.120000,0.000000
terra,average,CorefOnly,teammates,0.908554,0.143592,0.245619,0.172148,0.208229,0.023810,0.073568,0.134058,0.111976
terra,average,CorefOnly,teastore,1.000000,0.310231,0.472928,0.359701,0.454690,0.000000,0.000000,0.347826,0.000000
terra,average,Full,bigbluebutton,0.790503,0.923261,0.851712,0.893238,0.906542,0.571429,0.837915,0.940741,0.269488
terra,average,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,average,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.823529,0.976744,1.000000,0.072000
terra,average,Full,teammates,0.898265,0.769050,0.827782,0.791339,0.607601,0.333333,0.578584,0.463768,0.203812
terra,average,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000
terra,average,FullNameOnly,bigbluebutton,0.854965,0.800523,0.826835,0.810841,0.799986,0.571429,0.810190,0.725926,0.154812
terra,average,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,average,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
terra,average,FullNameOnly,teammates,0.923217,0.732329,0.815403,0.763191,0.565902,0.333333,0.564771,0.398550,0.098863
terra,average,FullNameOnly,teastore,1.000000,0.717586,0.835512,0.760513,0.859043,0.666667,0.848142,0.710145,0.000000
terra,average,PartialNameOnly,bigbluebutton,0.555835,0.115980,0.191268,0.137636,0.406789,0.000000,0.000000,0.251852,0.542367
terra,average,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667
terra,average,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
