model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
naive_bayes,class_weight,sbert_avg,7,0.7397358943577431,0.05973351072009403,0.24288766788766789,0.10093826823102847,0.3333333333333334,0.1745743121887939,0.26960341246055536,0.10919500856624238,0.3333333333333334,0.1745743121887939,1.7142857142857142,0.880630571852711,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.3333333333333334
naive_bayes,random_undersample,sbert_avg,7,0.6410564225690276,0.0693183500822193,0.22794476765065003,0.08819425117421638,0.6142857142857142,0.2747912008810192,0.33001443001443,0.13190821595671434,0.6142857142857142,0.2747912008810192,3.142857142857143,1.355261854357877,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6142857142857142
logistic_regression,none,sbert_max,7,0.7769507803121247,0.04190105819702692,0.20714285714285713,0.1590789817951435,0.13809523809523808,0.08806305718527109,0.15952380952380954,0.10177933239066586,0.13809523809523808,0.08806305718527109,0.7142857142857143,0.45175395145262565,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.13809523809523808
logistic_regression,class_weight,sbert_max,7,0.7315726290516207,0.06546745836463858,0.24002267573696143,0.1360787015372649,0.28095238095238095,0.14891900734392277,0.23749345892203033,0.10469614007847869,0.28095238095238095,0.14891900734392277,1.4285714285714286,0.7284313590846835,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.28095238095238095
logistic_regression,random_undersample,sbert_max,7,0.6289315726290515,0.07706764942414293,0.22715201465201465,0.07339807857695546,0.6190476190476192,0.20995626366712958,0.33038081746810083,0.10744481535883198,0.6190476190476192,0.20995626366712958,3.142857142857143,0.989743318610787,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6190476190476192
random_forest,none,sbert_max,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,class_weight,sbert_max,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,random_undersample,sbert_max,7,0.6325330132052821,0.05289392560824186,0.2218406593406593,0.05697889054077161,0.5904761904761905,0.1649572197684645,0.32181293570059605,0.08409041745655682,0.5904761904761905,0.1649572197684645,3.0,0.7559289460184544,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.5904761904761905
knn,none,sbert_max,7,0.8345738295318127,0.021336825801102452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
knn,class_weight,sbert_max,7,0.8345738295318127,0.021336825801102452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
knn,random_undersample,sbert_max,7,0.5503001200480193,0.07729321339413249,0.2093118406783003,0.04435301836908636,0.7238095238095238,0.17612611437054218,0.3230593737622178,0.0670205409851598,0.7238095238095238,0.17612611437054218,3.7142857142857144,0.880630571852711,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.7238095238095238
naive_bayes,none,sbert_max,7,0.7645858343337336,0.04156886936452386,0.27008348794063075,0.09538387422576296,0.3333333333333334,0.1745743121887939,0.28552281052281053,0.10592912600514791,0.3333333333333334,0.1745743121887939,1.7142857142857142,0.880630571852711,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.3333333333333334
naive_bayes,class_weight,sbert_max,7,0.7645858343337336,0.04156886936452386,0.27008348794063075,0.09538387422576296,0.3333333333333334,0.1745743121887939,0.28552281052281053,0.10592912600514791,0.3333333333333334,0.1745743121887939,1.7142857142857142,0.880630571852711,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.3333333333333334
naive_bayes,random_undersample,sbert_max,7,0.661704681872749,0.07405707719748544,0.24871239871239872,0.06189379377582688,0.6190476190476192,0.18070158058105026,0.35075914423740506,0.0884214212222742,0.6190476190476192,0.18070158058105026,3.142857142857143,0.8329931278350429,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6190476190476192
logistic_regression,none,sbert_tfidf_weighted,7,0.7399759903961585,0.05156729703435078,0.10034013605442176,0.12037645149106385,0.1142857142857143,0.14568627181693672,0.10533910533910533,0.12866200938042574,0.1142857142857143,0.14568627181693672,0.5714285714285714,0.7284313590846835,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.1142857142857143
