issue_id,in_recovar,recovar_issue_state,in_classification,smell_label,issue_state_ours,has_dep_change_commits,dep_change_missing_recovar,smelly_missing_recovar,dep_mr_count,dep_commit_count,dep_files_with_dep_changes
1709,False,,True,no_smell,closed,False,False,False,0,0,0
1711,False,,True,no_smell,opened,False,False,False,0,0,0
1712,False,,True,no_smell,closed,False,False,False,0,0,0
1717,False,,True,no_smell,closed,True,True,False,1,3,4
1722,False,,True,no_smell,closed,False,False,False,0,0,0
1729,False,,True,no_smell,closed,False,False,False,0,0,0
1734,False,,True,no_smell,closed,False,False,False,0,0,0
1736,True,closed,True,no_smell,closed,False,False,False,0,0,0
1738,False,,True,no_smell,closed,True,True,False,1,1,1
1740,False,,True,no_smell,closed,False,False,False,0,0,0
1741,True,opened,True,smell,opened,True,False,False,1,4,13
1742,True,closed,True,smell,closed,True,False,False,1,4,13
1743,False,,True,no_smell,closed,True,True,False,2,2,4
1744,True,closed,True,smell,closed,True,False,False,1,4,13
1745,True,closed,True,smell,closed,True,False,False,1,4,13
1747,False,,True,no_smell,closed,True,True,False,2,2,2
1748,False,,True,no_smell,closed,False,False,False,0,0,0
1750,False,,True,no_smell,closed,False,False,False,0,0,0
1752,False,,True,no_smell,opened,False,False,False,0,0,0
1754,False,,True,no_smell,closed,False,False,False,0,0,0
1755,False,,True,no_smell,closed,False,False,False,0,0,0
1757,False,,True,no_smell,closed,False,False,False,0,0,0
1758,True,closed,True,no_smell,closed,True,False,False,1,5,6
1760,False,,True,no_smell,closed,False,False,False,0,0,0
1761,False,,True,no_smell,closed,False,False,False,0,0,0
1762,False,,True,no_smell,closed,True,True,False,1,1,1
1766,False,,True,no_smell,closed,False,False,False,0,0,0
1767,True,closed,True,no_smell,closed,True,False,False,1,1,1
1768,False,,True,no_smell,closed,False,False,False,0,0,0
1770,False,,True,no_smell,closed,False,False,False,0,0,0
1771,False,,True,no_smell,closed,False,False,False,0,0,0
1773,False,,True,no_smell,closed,False,False,False,0,0,0
1777,False,,True,no_smell,opened,False,False,False,0,0,0
1781,False,,True,no_smell,closed,False,False,False,0,0,0
1784,True,closed,True,no_smell,closed,False,False,False,0,0,0
1785,False,,True,no_smell,closed,False,False,False,0,0,0
1786,True,closed,True,no_smell,closed,False,False,False,0,0,0
1793,False,,True,no_smell,closed,False,False,False,0,0,0
1794,False,,True,no_smell,closed,True,True,False,2,2,4
1798,False,,True,no_smell,closed,False,False,False,0,0,0
1800,True,opened,True,no_smell,opened,True,False,False,1,1,1
1804,False,,True,no_smell,closed,False,False,False,0,0,0
1810,False,,True,no_smell,closed,False,False,False,0,0,0
1811,True,closed,True,no_smell,closed,False,False,False,0,0,0
1812,True,closed,True,no_smell,closed,False,False,False,0,0,0
1815,True,closed,True,smell,closed,True,False,False,1,9,10
1817,False,,True,no_smell,closed,False,False,False,0,0,0
1819,False,,True,no_smell,closed,False,False,False,0,0,0
1828,False,,True,no_smell,closed,False,False,False,0,0,0
1829,False,,True,no_smell,closed,False,False,False,0,0,0
1831,False,,True,no_smell,closed,False,False,False,0,0,0
1832,True,closed,True,no_smell,closed,True,False,False,1,1,2
1834,False,,True,no_smell,closed,False,False,False,0,0,0
1835,False,,True,no_smell,closed,False,False,False,0,0,0
1839,False,,True,no_smell,opened,False,False,False,0,0,0
1840,True,closed,True,no_smell,closed,False,False,False,0,0,0
1841,False,,True,no_smell,closed,False,False,False,0,0,0
1843,False,,True,no_smell,closed,True,True,False,1,1,2
1851,True,closed,True,no_smell,closed,False,False,False,0,0,0
1853,False,,True,no_smell,opened,True,True,False,1,1,4
1859,True,opened,True,smell,opened,True,False,False,1,4,13
1862,False,,True,no_smell,closed,False,False,False,0,0,0
1863,True,closed,True,smell,closed,True,False,False,1,4,13
1864,True,closed,True,no_smell,closed,True,False,False,1,1,1
1865,False,,True,no_smell,closed,False,False,False,0,0,0
1866,False,,True,no_smell,closed,False,False,False,0,0,0
1867,False,,True,no_smell,closed,False,False,False,0,0,0
1868,True,closed,True,no_smell,closed,False,False,False,0,0,0
