backend,run,arm,project,tp,fp,fn,precision,recall,f1,f2
luna,average,Full,teastore,27.0,1.3,0.0,0.9532,1.0,0.976,0.9902
luna,average,Full,teammates,57.0,44.7,0.0,0.5607,1.0,0.7185,0.8645
luna,average,Full,bigbluebutton,60.0,12.7,2.0,0.8257,0.9677,0.891,0.9355
luna,average,Full,jabref,18.0,2.3,0.0,0.8857,1.0,0.9393,0.9748
luna,average,Full,Average,38.5,12.8,0.5,0.8271,0.9893,0.8935,0.9458
luna,1,OneCall,mediastore,28,4,3,0.875,0.9032,0.8889,0.8974
luna,1,OneCall,teastore,27,23,0,0.54,1.0,0.7013,0.8544
luna,1,OneCall,teammates,49,61,8,0.4455,0.8596,0.5868,0.7249
luna,1,OneCall,bigbluebutton,43,32,19,0.5733,0.6935,0.6277,0.6656
luna,1,OneCall,jabref,18,2,0,0.9,1.0,0.9474,0.9783
luna,1,OneCall,Average,33.0,24.4,6.0,0.6668,0.8913,0.7504,0.8241
luna,2,OneCall,mediastore,28,1,3,0.9655,0.9032,0.9333,0.915
luna,2,OneCall,teastore,27,22,0,0.551,1.0,0.7105,0.8599
luna,2,OneCall,teammates,48,43,9,0.5275,0.8421,0.6486,0.7524
luna,2,OneCall,bigbluebutton,48,35,14,0.5783,0.7742,0.6621,0.7251
luna,2,OneCall,jabref,18,3,0,0.8571,1.0,0.9231,0.9677
luna,2,OneCall,Average,33.8,20.8,5.2,0.6959,0.9039,0.7755,0.844
luna,3,OneCall,mediastore,28,2,3,0.9333,0.9032,0.918,0.9091
luna,3,OneCall,teastore,27,24,0,0.5294,1.0,0.6923,0.8491
luna,3,OneCall,teammates,46,37,11,0.5542,0.807,0.6571,0.7395
luna,3,OneCall,bigbluebutton,43,30,19,0.589,0.6935,0.637,0.6698
luna,3,OneCall,jabref,18,4,0,0.8182,1.0,0.9,0.9574
luna,3,OneCall,Average,32.4,19.4,6.6,0.6848,0.8807,0.7609,0.825
luna,average,OneCall,mediastore,28.0,2.3,3.0,0.9246,0.9032,0.9134,0.9072
luna,average,OneCall,teastore,27.0,23.0,0.0,0.5401,1.0,0.7014,0.8545
luna,average,OneCall,teammates,47.7,47.0,9.3,0.5091,0.8362,0.6308,0.7389
luna,average,OneCall,bigbluebutton,44.7,32.3,17.3,0.5802,0.7204,0.6423,0.6868
luna,average,OneCall,jabref,18.0,3.0,0.0,0.8584,1.0,0.9235,0.9678
luna,average,OneCall,Average,33.1,21.5,5.9,0.6825,0.892,0.7623,0.831
