backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
luna,average,NoCitation,mediastore,0.768893,0.531073,0.623730,0.564037,0.726839,0.725720,0.000000,0.000000,0.000000,0.000000
luna,average,NoCitation,teammates,0.508211,0.867070,0.638743,0.757520,0.629331,0.628083,0.521905,0.619162,0.684874,0.797303
luna,average,NoCitation,teastore,0.597418,0.535125,0.557036,0.542103,0.669240,0.736033,0.060606,0.064103,0.167131,0.183374
luna,average,NoFullNameValid,bigbluebutton,0.779276,0.953564,0.857652,0.912734,0.933275,0.972145,0.736252,0.694444,0.893444,0.926645
luna,average,NoFullNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,average,NoFullNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,average,NoFullNameValid,teammates,0.714232,0.938619,0.810951,0.882927,0.747562,0.702693,0.646617,0.820611,0.798580,0.895217
luna,average,NoFullNameValid,teastore,0.986315,0.512023,0.673359,0.566222,0.861111,0.801033,0.111111,0.079365,0.243902,0.210084
luna,average,NoPartialNameValid,bigbluebutton,0.562381,0.953564,0.707451,0.837055,0.834528,0.926510,0.333333,0.555556,0.702873,0.832979
luna,average,NoPartialNameValid,jabref,0.928292,1.000000,0.962117,0.984314,0.971015,0.988095,0.866667,0.939394,0.960784,0.983740
luna,average,NoPartialNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,average,NoPartialNameValid,teammates,0.795309,0.833313,0.813852,0.825414,0.580832,0.557856,0.210526,0.400000,0.577882,0.717262
luna,average,NoPartialNameValid,teastore,0.986315,0.512023,0.673359,0.566222,0.861111,0.801033,0.111111,0.079365,0.243902,0.210084
luna,average,NoValidator,bigbluebutton,0.512701,0.958797,0.668096,0.816640,0.792778,0.905304,0.324786,0.545809,0.675788,0.817902
luna,average,NoValidator,jabref,0.789685,1.000000,0.882485,0.949428,0.880000,0.948276,0.800000,0.909091,0.883436,0.949868
luna,average,NoValidator,mediastore,0.768893,0.531073,0.623730,0.564037,0.726839,0.725720,0.000000,0.000000,0.000000,0.000000
luna,average,NoValidator,teammates,0.461540,0.939237,0.618309,0.777351,0.589992,0.654276,0.210526,0.400000,0.500084,0.706305
luna,average,NoValidator,teastore,0.597418,0.535125,0.557036,0.542103,0.669240,0.736033,0.060606,0.064103,0.167131,0.183374
