backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
luna,run2,FullNameOnly,teammates,0.808467,0.773620,0.790660,0.780347,0.607143,0.508982,0.715990,0.611746,0.789186,0.748864
luna,run2,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,teammates,0.908300,0.141904,0.245460,0.170713,0.193548,0.131291,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,bigbluebutton,0.774499,0.909745,0.836692,0.879044,0.903226,0.892857,0.666667,0.555556,0.853010,0.838362
luna,run2,FullNameOnly,bigbluebutton,0.786742,0.822760,0.804348,0.815295,0.805755,0.744681,0.666667,0.555556,0.790915,0.742323
luna,run2,PartialNameOnly,bigbluebutton,0.685714,0.094179,0.165612,0.113816,0.363636,0.267857,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,bigbluebutton,0.815668,0.115762,0.202749,0.139744,0.336842,0.240964,0.000000,0.000000,0.000000,0.000000
luna,run2,Full,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
luna,run2,FullNameOnly,jabref,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
luna,run2,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,mediastore,0.844828,0.830508,0.837607,0.833333,0.931034,0.950704,0.654545,0.647482,0.944606,0.942957
luna,run3,FullNameOnly,mediastore,0.826923,0.728814,0.774775,0.746528,0.872727,0.863309,0.576923,0.551471,0.897756,0.875486
luna,run3,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,mediastore,1.000000,0.305085,0.467532,0.354331,0.564103,0.447154,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,teastore,0.971154,1.000000,0.985366,0.994094,0.964286,0.985401,0.923077,0.967742,0.986301,0.994475
luna,run3,FullNameOnly,teastore,0.996169,0.735502,0.846216,0.776119,0.857143,0.807692,0.666667,0.555556,0.860215,0.793651
luna,run3,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,teastore,0.941896,0.435644,0.595745,0.488114,0.666667,0.569106,0.333333,0.238095,0.575080,0.468994
luna,run3,Full,teammates,0.753291,0.784365,0.768514,0.777947,0.617021,0.556622,0.444444,0.611746,0.702966,0.752937
luna,run3,FullNameOnly,teammates,0.768160,0.749660,0.758797,0.753289,0.593023,0.504950,0.693954,0.611746,0.739248,0.715398
luna,run3,PartialNameOnly,teammates,0.100000,0.002100,0.004113,0.002611,0.016529,0.011013,0.000000,0.000000,0.000000,0.000000
luna,run3,CorefOnly,teammates,0.937787,0.176856,0.297589,0.211116,0.209677,0.142232,0.132852,0.089949,0.273617,0.193020
luna,run3,Full,bigbluebutton,0.711278,0.928058,0.805335,0.874738,0.913580,0.927318,0.500000,0.714286,0.848928,0.887143
luna,run3,FullNameOnly,bigbluebutton,0.771071,0.885546,0.824353,0.860010,0.883117,0.869565,0.571429,0.526316,0.812302,0.795670
luna,run3,PartialNameOnly,bigbluebutton,0.220000,0.028777,0.050896,0.034832,0.137931,0.092593,0.000000,0.000000,0.000000,0.000000
